System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B001-DF0207,Activated,A,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B001,American Playground,B001,,B-01,B,"100,037,676",DRINKFTN,D,B001,A-American Playground,301,33,94,11222
B002-DF0731,Broken,E,1,TRUE,FALSE,Out in Open,TRUE,B002,Amersfort Park,B002,,B-18,B,"100,039,159",DRINKFTN,I,B002,E-Amersfort Park,318,45,63,11210
B002-DF0732,Broken,E,1,TRUE,FALSE,"Under Tree, Out in Open",TRUE,B002,Amersfort Park,B002,,B-18,B,"100,039,177",DRINKFTN,I,B002,E-Amersfort Park,318,45,63,11210
B007-DF0754,UnderConstruction,CS Metal,1,FALSE,FALSE,In Shade,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,198",DRINKFTN,I,B007,CS Metal-Bensonhurst Park,311,43,62,11214
B007-DF0756,UnderConstruction,A,1,TRUE,TRUE,"Out in Open, In Playground",TRUE,B007,Bensonhurst Park,B007-01,Bensonhurst Park Playground,B-11,B,"100,039,249",DRINKFTN,I,B007-01,A-Bensonhurst Park-Bensonhurst Park Playground,311,43,62,11214
B007-DF0757,UnderConstruction,A,1,TRUE,TRUE,"Near Ballfield, Out in Open",TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,244",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0765,Broken,A,1,TRUE,FALSE,Out in Open,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,304",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0766,UnderConstruction,A,1,TRUE,TRUE,"Near Ballfield, Out in Open",TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,306",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0767,Broken,A,1,TRUE,FALSE,Out in Open,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,333",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B008-DF0018,Activated,F High Low,2,TRUE,FALSE,Just Outside Playground,TRUE,B008,Betsy Head Park,B008-03,Imagination Playground at Betsy Head,B-16,B,"100,037,440",DRINKFTN,I,B008-03,F High Low-Betsy Head Park-Imagination Playground at Betsy Head,316,41,73,11212
B008-DF0022,Activated,F High Low,2,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008-03,Imagination Playground at Betsy Head,B-16,B,"100,037,432",DRINKFTN,I,B008-03,F High Low-Betsy Head Park-Imagination Playground at Betsy Head,316,41,73,11212
B008-DF0133,Broken,A,1,TRUE,FALSE,Near Ballfield,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,575",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0136,Broken,A,1,TRUE,FALSE,"Under Tree, In Shade",TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,571",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0137,Broken,A,1,TRUE,FALSE,Near Ballfield,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,493",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0139,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,565",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0140,Activated,D,1,TRUE,TRUE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,498",DRINKFTN,I,B008,D-Betsy Head Park,316,41,73,11212
B008-DF0141,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,522",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF1027,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B008,Betsy Head Park,B008,,B-16,B,"100,042,935",DRINKFTN,I,B008-BLG1187,Indoor Fountain-Betsy Head Park-Field House,316,41,73,11212
B008-DF1037,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B008,Betsy Head Park,B008,,B-16,B,"100,042,964",DRINKFTN,I,B008-BLG1187,Indoor Drinking Fountain-Betsy Head Park-Field House,316,41,73,11212
B010-DF0637,NotYetActivated,A,1,FALSE,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,038,852",DRINKFTN,I,B010,A-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0980,NotYetActivated,E High Low,2,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,941",DRINKFTN,I,B010,E High Low-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0984,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,972",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0985,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,952",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0986,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,977",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B012-DF0463,Activated,C,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B012,Brower Park,B012-03,Brower Park,B-08,B,"100,038,054",DRINKFTN,I,B012-03,C-Brower Park-Brower Park,308,36,77,11213
B012-DF0466,Activated,C,1,TRUE,TRUE,Out in Open,TRUE,B012,Brower Park,B012,,B-08,B,"100,037,997",DRINKFTN,I,B012,C-Brower Park,308,36,77,11213
B016-DF0012,Broken,C,1,FALSE,FALSE,In Playground,TRUE,B016,Maria Hernandez Park,B016-01,Maria Hernandez Park Playground,B-04,B,"100,037,431",DRINKFTN,I,B016-01,C-Maria Hernandez Park-Maria Hernandez Park Playground,304,34,83,11237
B016-DF0013,Activated,E,1,TRUE,FALSE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,411",DRINKFTN,I,B016,E-Maria Hernandez Park,304,34,83,11237
B016-DF0014,Activated,E High Low,2,TRUE,FALSE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,428",DRINKFTN,I,B016,E High Low-Maria Hernandez Park,304,34,83,11237
B016-DF0015,Activated,A,1,TRUE,FALSE,Near Ballfield,TRUE,B016,Maria Hernandez Park,B016-02,Maria Hernandez Park,B-04,B,"100,037,408",DRINKFTN,I,B016-02,A-Maria Hernandez Park-Maria Hernandez Park,304,34,83,11237
B016-DF0016,Activated,E and Dog,2,TRUE,TRUE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,425",DRINKFTN,I,B016,E and Dog-Maria Hernandez Park,304,34,83,11237
B016-DF0017,Activated,E and Dog,2,TRUE,TRUE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,405",DRINKFTN,I,B016,E and Dog-Maria Hernandez Park,304,34,83,11237
B017-DF0043,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,458",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0044,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,479",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0045,Activated,A,1,TRUE,FALSE,"Just Outside Playground, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,455",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0046,Activated,C,1,FALSE,FALSE,"Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,476",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B017-DF0047,Activated,C,1,FALSE,FALSE,"Under Tree, In Shade, Out in Open, In Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,452",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B017-DF0048,Activated,C,1,FALSE,FALSE,"Out in Open, Just Outside Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,488",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B018-DF0200,Activated,E and Dog,2,TRUE,FALSE,Out in Open,TRUE,B018,Canarsie Park,B018-ZN02,Canarsie Park Zone 2,B-18,B,"100,037,613",DRINKFTN,I,B018-ZN02,E and Dog-Canarsie Park-Canarsie Park Zone 2,318,46,69,11236
B018-DF0807,Activated,H,1,TRUE,FALSE,"Near Ballfield, Out in Open",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,887",DRINKFTN,I,B018-ZN01,H-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0808,Activated,A,1,TRUE,FALSE,"Near Ballfield, Under Tree",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,811",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0809,Activated,H,1,TRUE,FALSE,"Near Ballfield, Out in Open",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,792",DRINKFTN,I,B018-ZN01,H-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0810,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,808",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0811,Activated,D,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B018,Canarsie Park,B018-01,Dinapoli Plgd,B-18,B,"100,039,834",DRINKFTN,I,B018-01,D-Canarsie Park-Dinapoli Plgd,318,46,69,11236
